,Компания,Общая тема,Подтема,Заголовок,Новость
0,"ПАО ""НК ""РОСНЕФТЬ""","Суды, конфликты, расследования",Взятки,"В уголовном деле о взятке сотрудника ""дочки"" ""Роснефти"" вскрылись новые данные","…До суда подозреваемый отправлен в СИЗО Фото: Вадим Ахметов © URA.RU В уголовном деле сотрудника дочернего предприятия ""Роснефти"" ""РН-Стройконтроль"" вскрылись новые обстоятельства. Как сообщили URA.RU в следственном управлении СК РФ по ХМАО, в отношении мужчины возбуждено новое уголовное дело по статье, воспрепятствование законной предпринимательской деятельности.…"
1,"ПАО ""НК ""РОСНЕФТЬ""","Суды, конфликты, расследования",Взятки,"В уголовном деле о взятке сотрудника ""дочки"" ""Роснефти"" вскрылись новые данные","… В уголовном деле сотрудника дочернего предприятия ""Роснефти"" ""РН-Стройконтроль"", подозреваемого в вымогательстве взятки, вскрылись новые обстоятельства. Прокуратурой инициировано возбуждение еще одного уголовного дела по статье воспрепятствование законной предпринимательской деятельности. …"
2,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ упал к 3440п по индексу МосБиржи на бумагах ""Газпрома"" и ""Мечела""","…Так, ожидается, что основной его целью будет энергетический сектор, в частности, проекты, связанные с добычей природного газа и нефтью. На этом фоне с самого утра теряли в стоимости акции ""НОВАТЭКа"", ""Роснефти"" и ""Сургутнефтегаза"". Сильнее углеводородных компаний снижались только котировки акций авиакомпании ""Аэрофлот"", так как под санкции подпал ее лоукостер - авиакомпания ""Победа"".…"
3,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ начал неделю с умеренного снижения по индексу МосБиржи на укреплении рубля, вырос ""Полюс""","…Доллар к 18:50 МСК просел до 91,23 рубля (- 0,37 рубля).Подешевели акции ""Московской биржи"" (-2,6%), ""ЛУКОЙЛа"" (-1,6%), ""ММК"" (-1,1%), ""АЛРОСА"" (-1%), ""Газпрома"" (-1%), ""НОВАТЭКа"" (-1%), ""Газпром нефти"" (-0,6%), ""Роснефти"" (-0,5%), ВТБ (-0,4%), Сбербанка (-0,3% и -0,5% ""префы""), ""Аэрофлота"" (-0,2%), ""НЛМК"" (-0,2%), АФК ""Система"" (-0,2%), ""Магнита"" (-0,2%), ""РусГидро"" (-0,2%), ""МТС"" (-0,1%), ОК ""Русал"" (-0,1%), ""Татнефти"" (-0,1%).Чистая прибыль ""Татнефти"" по РСБУ в I квартале 2024 года составила 68,386 млрд рублей, что на 36,4% выше показателя аналогичного периода предыдущего года ( 50,122 млрд рублей), говорится в отчете компании. …"
4,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ в пятницу стабилизировался, выросли ""Система"" и металлурги, просел ""Газпром""","…""Газпром"" расстроил рынок новостями о получении чистого убытка за 2023 год в размере 630 млрд руб., отчетность газового гиганта нивелировала надежды инвесторов на высокие годовые дивиденды, хотя не исключено, что определенные выплаты от компании все же поступят (решение, скорее всего, будет обнародовано в конце мая). Высоких годовых дивидендов при этом продолжают ждать в нефтяном секторе, в частности, на акции ""Башнефти"", ""Сургутнефтегаза"", ""Транснефти"" и ""Роснефти"", отметила аналитик.Акции ""Группы ЛСР"" продолжили снижение после закрытия реестра по дивидендам за 2023 год. …"
5,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ просел ниже 3430п по индексу МосБиржи на отсечке ЛУКОЙЛа, выросла Транснефть (версия 2)","…Дивиденды НК за 2023 год составляют 498 рублей на бумагу.Также подешевели акции Polymetal (MOEX: POLY) (-1,2%), ""Норникеля"" (MOEX: GMKN) (-1%), ""ММК"" (MOEX: MAGN) (-0,8%), ""Ростелекома"" (MOEX: RTKM) (-0,8%), ""Аэрофлота"" (MOEX: AFLT) (-0,7%), АФК ""Система"" (MOEX: AFKS) (-0,3%), ""МТС"" (MOEX: MTSS) (-0,2%), ПАО ""Полюс"" (MOEX: PLZL) (-0,2%), ""ТКС Холдинг"" ( SPB: TCSG) (MOEX: TCSG) (-0,2%), ""АЛРОСА"" (MOEX: ALRS) (-0,1%), ""Роснефти"" (MOEX: ROSN) (-0,1%), ВТБ (MOEX: VTBR) (-0,1%), ""Интер РАО"" (MOEX: IRAO) (-0,1%). ""Префы"" ""Транснефти"" выросли до 1639,5 рубля (+2,6%).…"
6,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,Российские индексы торговались разнонаправленно,"…Так, ожидается, что основной его целью будет энергетический сектор, в частности, проекты, связанные с добычей природного газа и нефтью. На этом фоне с самого утра теряли в стоимости акции ""Новатэка"", ""Роснефти"" и ""Сургутнефтегаза"". Сильнее углеводородных компаний снижались только котировки акций авиакомпании ""Аэрофлот"" (-1,88%), так как под санкции может попасть ее лоукостер - ""Победа"".…"
7,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ открылся ростом индекса РТС на 0,5% и снижением Мосбиржи на 0,04% на укреплении рубля","…Бумаги ""Группы Астра"" просели на 1,7%.Также подешевели акции ""Аэрофлота"" (-1%), ""Норникеля"" (MOEX: GMKN) (-0,7%), ""Роснефти"" (MOEX: ROSN) (-0,3%), ""НОВАТЭКа"" (MOEX: NVTK) (-0,3%), ""ЛУКОЙЛа"" (MOEX: LKOH) (-0,2%), ""Северстали"" (MOEX: CHMF) (-0,1%), ""Газпром нефти"" (MOEX: SIBN) (-0,1%), ""МТС"" (MOEX: MTSS) (-0,1%), ""ММК"" (MOEX: MAGN) (-0,1%), расписки OZON (MOEX: OZON) (-0,1%).Подорожали акции ""АЛРОСА"" (MOEX: ALRS) (+1,1%), ""НЛМК"" (MOEX: NLMK) (+0,7%), ""Интер РАО"" (MOEX: IRAO) (+0,7%), ""Магнита"" (MOEX: MGNT) (+0,5%), ""Московской биржи"" (MOEX: MOEX) (+0,4%), ""Яндекса"" (MOEX: YNDX) (+0,4%), ""Сургутнефтегаза"" (MOEX: SNGS) (+0,2% и +0,1% ""префы""), ВТБ (MOEX: VTBR) (+0,2%), ПАО ""Полюс"" (MOEX: PLZL) (+0,2%), ""ТКС Холдинг"" ( SPB: TCSG) (+0,2%), АФК ""Система"" (MOEX: AFKS) (+0,1%), ""РусГидро"" (MOEX: HYDR) (+0,1%), ОК ""Русал"" (MOEX: RUAL) (+0,1%), Polymetal (MOEX: POLY) (+0,1%).…"
8,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ открылся незначительными изменениями индексов МосБиржи и РТС, вырос Яндекс","…При этом выручка благодаря росту цен на золото и сокращению сроков поступления средств подскочила на 26% и ставила $294 млн.Подешевели акции АФК ""Система"" (-0,8%), ""АЛРОСА"" (MOEX: ALRS) (-0,7%), ""ЛУКОЙЛа"" (MOEX: LKOH) (-0,5%), ВТБ (MOEX: VTBR) (-0,3%), ""НОВАТЭКа"" (MOEX: NVTK) (-0,3%), ""Роснефти"" (MOEX: ROSN) (-0,1%), ""МТС"" (MOEX: MTSS) (-0,1%), ""префы"" Сбербанка (MOEX: SBER) (-0,1%).Во ""втором эшелоне"" выросли акции ПАО ""Россети Урал"" (MOEX: MRKU) (+13,1%, до 0,7048 рубля) на дивидендных новостях. …"
9,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ утром подрос на бумагах металлургов и ""Газпрома"", индекс МосБиржи превысил 3475п","…Подорожали акции ""АЛРОСА"" (MOEX: ALRS) (+2,4%), ""НЛМК"" (MOEX: NLMK) (+1,2%), ""Газпрома"" (+0,9%), ""Норникеля"" (MOEX: GMKN) (+0,9%), ""Яндекса"" (MOEX: YNDX) (+0,6%), ""Московской биржи"" (MOEX: MOEX) (+0,5%), ""МТС"" (MOEX: MTSS) (+0,4%), ""Интер РАО"" (MOEX: IRAO) (+0,4%), ""Татнефти"" (MOEX: TATN) (+0,3%), Polymetal (MOEX: POLY) (+0,3%), ""ЛУКОЙЛа"" (MOEX: LKOH) (+0,2%), ""Газпром нефти"" (MOEX: SIBN) (+0,2%), ВТБ (MOEX: VTBR) (+0,2%), ""ТКС Холдинг"" ( SPB: TCSG) (+0,2%).Подешевели акции ""Аэрофлота"" (-0,7%), ""Сургутнефтегаза"" (MOEX: SNGS) (-0,5% и -0,3% ""префы""), ""НОВАТЭКа"" (MOEX: NVTK) (-0,5%), ОК ""Русал"" (MOEX: RUAL) (-0,5%), ПАО ""Полюс"" (MOEX: PLZL) (-0,4%), ""Роснефти"" (MOEX: ROSN) (-0,3%), ""Магнита"" (MOEX: MGNT) (-0,3%), ""РусГидро"" (MOEX: HYDR) (-0,3%), расписки OZON (MOEX: OZON) (-0,3%), бумаги ""ММК"" (MOEX: MAGN) (-0,2%), АФК ""Система"" (MOEX: AFKS) (-0,1%).По оценке главного аналитика Промсвязьбанка (MOEX: PSKB) Алексея Головинова, индекс МосБиржи будет двигаться в ближайшие дни в диапазоне 3450-3485 пунктов. …"
